iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
7710,200000,0.7581342458724976,0.36951750773910086,0.4426057020738462,56.669921875,143.484375,0.115234375,0.009432291612029076,-0.7379143238067627,0.0030093081295490265,-5.678067207336426,21744.148334264755,pos_err_exceeded:1323|joint_limit:335|max_steps:236|self_collision:97
7720,200000,0.8267111778259277,0.46733143278519584,0.5216705077004598,60.04052734375,140.671875,0.25537109375,0.004953428171575069,-0.7761437296867371,0.003000118536874652,-5.432806015014648,21772.41193652153,pos_err_exceeded:1019|max_steps:523|joint_limit:379|self_collision:127
7730,200000,0.7449728846549988,0.3351057981046243,0.44040642021939513,41.3076171875,139.46875,0.12646484375,0.014462239108979702,-0.7229266166687012,0.0029917398933321238,-5.943580627441406,21800.081769943237,pos_err_exceeded:1306|joint_limit:342|max_steps:259|self_collision:119
7740,200000,0.7759966850280762,0.4389445442756645,0.5185613292484814,52.7294921875,141.859375,0.21142578125,0.009564017876982689,-0.7638944387435913,0.0029896192718297243,-6.029468536376953,21828.271782159805,pos_err_exceeded:1012|max_steps:433|joint_limit:345|self_collision:199
7750,200000,0.8139086961746216,0.4423553591683759,0.5445246317044743,57.5634765625,138.5,0.177734375,0.0055113378912210464,-0.743937611579895,0.0029847805853933096,-5.945643424987793,21856.32959318161,pos_err_exceeded:1104|joint_limit:423|max_steps:364|self_collision:127
7760,200000,0.7786872386932373,0.3845801589110566,0.47907967712766675,51.767578125,148.6875,0.19775390625,0.009734326973557472,-0.7578378915786743,0.002984259743243456,-5.94136905670166,21884.571761131287,pos_err_exceeded:1278|max_steps:405|joint_limit:245|self_collision:87
7770,200000,0.7362061738967896,0.40081582511407565,0.5462927102628283,47.0830078125,137.0,0.18017578125,0.012179642915725708,-0.756561279296875,0.002982063451781869,-5.795063018798828,21912.11155152321,pos_err_exceeded:1269|max_steps:369|joint_limit:301|self_collision:107
7780,200000,0.7861428260803223,0.378041867510699,0.4593435394111348,50.99755859375,147.65625,0.1201171875,0.009975641965866089,-0.7224397659301758,0.002975272946059704,-5.559022903442383,21939.705201387405,pos_err_exceeded:1378|joint_limit:263|max_steps:246|self_collision:161
7790,200000,0.8127533197402954,0.40881821719355027,0.47832644437321437,49.1162109375,140.796875,0.16162109375,0.010194262489676476,-0.7421984672546387,0.0029688882641494274,-5.92620325088501,21966.146721839905,pos_err_exceeded:1143|joint_limit:429|max_steps:331|self_collision:145
7800,200000,0.768834114074707,0.41430342605007475,0.4977472025046738,57.9384765625,146.125,0.19873046875,0.0035108174197375774,-0.7261330485343933,0.002961766207590699,-6.02872896194458,21993.997379779816,pos_err_exceeded:1226|max_steps:407|joint_limit:311|init_ik_fail:63
