task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
150,54,17,3.176470588235294,cone,jl
151,86,2,43.0,cone,jl
152,31,19,1.631578947368421,lateral,jl
153,84,11,7.636363636363637,cone,jl
154,11,6,1.8333333333333333,jl,jl
155,20,10,2.0,cone,collision
156,12,2,6.0,collision,jl
157,61,22,2.772727272727273,cone,cone
158,30,18,1.6666666666666667,cone,jl
159,63,30,2.1,cone,cone
160,69,27,2.5555555555555554,jl,jl
161,47,28,1.6785714285714286,cone,jl
162,26,4,6.5,cone,jl
163,36,6,6.0,jl,jl
164,44,34,1.2941176470588236,cone,cone
165,24,24,1.0,lateral,lateral
166,19,19,1.0,cone,cone
167,47,4,11.75,cone,jl
168,66,40,1.65,jl,cone
169,29,26,1.1153846153846154,cone,cone
170,32,29,1.103448275862069,lateral,cone
171,21,20,1.05,cone,cone
172,53,35,1.5142857142857142,jl,jl
173,65,9,7.222222222222222,cone,jl
174,71,30,2.3666666666666667,cone,cone
175,29,7,4.142857142857143,jl,jl
176,5,7,0.7142857142857143,jl,jl
177,20,8,2.5,jl,jl
178,46,19,2.4210526315789473,cone,cone
179,16,15,1.0666666666666667,jl,cone
180,16,15,1.0666666666666667,jl,jl
181,19,17,1.1176470588235294,cone,cone
182,38,16,2.375,cone,jl
183,21,21,1.0,lateral,lateral
184,26,21,1.2380952380952381,jl,jl
185,18,18,1.0,cone,cone
186,43,18,2.388888888888889,cone,jl
187,94,34,2.764705882352941,cone,jl
188,77,12,6.416666666666667,cone,jl
189,55,22,2.5,cone,cone
190,20,18,1.1111111111111112,jl,jl
191,14,14,1.0,lateral,lateral
192,27,22,1.2272727272727273,cone,cone
193,19,3,6.333333333333333,lateral,jl
194,19,26,0.7307692307692307,jl,jl
195,21,21,1.0,cone,cone
196,91,11,8.272727272727273,cone,jl
197,101,18,5.611111111111111,cone,jl
198,82,29,2.8275862068965516,cone,cone
199,29,26,1.1153846153846154,cone,cone
200,43,12,3.5833333333333335,lateral,jl
201,31,25,1.24,cone,cone
202,17,16,1.0625,cone,cone
203,32,41,0.7804878048780488,jl,cone
204,60,57,1.0526315789473684,jl,cone
205,59,2,29.5,lateral,jl
206,92,5,18.4,cone,jl
207,13,16,0.8125,jl,cone
208,13,16,0.8125,jl,cone
209,76,13,5.846153846153846,cone,jl
210,29,4,7.25,cone,jl
